2024.06.02 00:00:00;All;2;OPEC-JMMC Meetings (All Day);;;;;;
2024.06.02 00:00:00;All;2;OPEC Meetings (All Day);;;;;;
2024.06.02 00:00:00;NZD;0;Bank Holiday (All Day);;;;;;
2024.06.02 19:50:00;JPY;1;Capital Spending q/y;16.4%;12.2%;6.8%;;;
2024.06.02 20:30:00;JPY;1;Final Manufacturing PMI;50.5;50.5;50.4;;;
2024.06.02 21:00:00;AUD;1;MI Inflation Gauge m/m;0.1%;;0.3%;;;
2024.06.02 21:45:00;CNY;1;Caixin Manufacturing PMI;51.4;51.6;51.7;;;
2024.06.03 02:30:00;AUD;1;Commodity Prices y/y;-11.6%;;-4.2%;;-12.1%;
2024.06.03 03:15:00;EUR;1;Spanish Manufacturing PMI;52.2;52.5;54.0;;;
2024.06.03 03:30:00;CHF;1;Manufacturing PMI;41.4;45.4;46.4;;;
2024.06.03 03:45:00;EUR;1;Italian Manufacturing PMI;47.3;47.9;45.6;;;
2024.06.03 03:50:00;EUR;1;French Final Manufacturing PMI;46.7;46.7;46.4;;;
2024.06.03 03:55:00;EUR;1;German Final Manufacturing PMI;45.4;45.4;45.4;;;
2024.06.03 04:00:00;EUR;1;Final Manufacturing PMI;47.4;47.4;47.3;;;
2024.06.03 04:30:00;GBP;1;Final Manufacturing PMI;51.3;51.3;51.2;;;
2024.06.03 09:30:00;CAD;1;Manufacturing PMI;49.4;;49.3;;;
2024.06.03 09:45:00;USD;3;Final Manufacturing PMI;50.9;50.9;51.3;;;
2024.06.03 10:00:00;USD;3;ISM Manufacturing PMI;49.2;49.8;48.7;;;
2024.06.03 10:00:00;USD;2;ISM Manufacturing Prices;60.9;60.0;57.0;;;
2024.06.03 10:00:00;USD;1;Construction Spending m/m;-0.2%;0.2%;-0.1%;;;
2024.06.03 00:00:00;USD;1;Wards Total Vehicle Sales (All Day);15.7M;15.8M;15.9M;;;
2024.06.03 19:01:00;GBP;1;BRC Retail Sales Monitor y/y;-4.4%;1.2%;0.4%;;;
2024.06.03 19:50:00;JPY;1;Monetary Base y/y;2.1%;2.2%;0.9%;;;
2024.06.03 21:30:00;AUD;1;Company Operating Profits q/q;7.4%;-0.9%;-2.5%;;7.1%;
2024.06.03 21:30:00;AUD;1;Current Account;11.8B;5.6B;-4.9B;;2.7B;
2024.06.03 23:35:00;JPY;1;10-y Bond Auction;0.86|3.2;;1.05|3.7;;;
2024.06.04 02:30:00;CHF;3;CPI m/m;0.3%;0.3%;0.3%;;;
2024.06.04 02:45:00;EUR;1;French Gov Budget Balance;-52.8B;;-91.6B;;;
2024.06.04 03:00:00;EUR;1;Spanish Unemployment Change;-60.5K;-55.4K;-58.7K;;;
2024.06.04 03:55:00;EUR;1;German Unemployment Change;10K;7K;25K;;;
2024.06.04 10:00:00;USD;3;JOLTS Job Openings;8.49M;8.37M;8.06M;;8.36M;
2024.06.04 10:00:00;USD;1;Factory Orders m/m;1.6%;0.7%;0.7%;;0.8%;
2024.06.04 10:02:00;USD;1;RCM/TIPP Economic Optimism;41.8;45.2;40.5;;;
2024.06.04 11:11:00;NZD;1;GDT Price Index;3.3%;;1.7%;;;
2024.06.04 18:45:00;NZD;1;Overseas Trade Index q/q;-7.8%;3.1%;5.1%;;;
2024.06.04 19:30:00;JPY;1;Average Cash Earnings y/y;0.6%;1.7%;2.1%;;1.0%;
2024.06.04 21:30:00;AUD;3;GDP q/q;0.2%;0.2%;0.1%;;0.3%;
2024.06.04 21:45:00;CNY;1;Caixin Services PMI;52.5;52.5;54.0;;;
2024.06.05 02:45:00;EUR;1;French Industrial Production m/m;-0.3%;0.3%;0.5%;;-0.2%;
2024.06.05 03:15:00;EUR;1;Spanish Services PMI;56.2;56.5;56.9;;;
2024.06.05 03:45:00;EUR;1;Italian Services PMI;54.3;54.4;54.2;;;
2024.06.05 03:50:00;EUR;1;French Final Services PMI;49.4;49.4;49.3;;;
2024.06.05 03:55:00;EUR;1;German Final Services PMI;53.9;53.9;54.2;;;
2024.06.05 04:00:00;EUR;1;Final Services PMI;53.3;53.3;53.2;;;
2024.06.05 04:30:00;GBP;1;Final Services PMI;52.9;52.9;52.9;;;
2024.06.05 05:00:00;EUR;1;PPI m/m;-0.4%;-0.6%;-1.0%;;-0.5%;
2024.06.05 08:15:00;USD;3;ADP Non-Farm Employment Change;192K;173K;152K;;188K;
2024.06.05 08:30:00;CAD;1;Labor Productivity q/q;0.4%;-0.2%;-0.3%;;0.2%;
2024.06.05 09:45:00;CAD;3;BOC Rate Statement;;;;;;
2024.06.05 09:45:00;CAD;3;Overnight Rate;5.00%;4.75%;4.75%;;;
2024.06.05 09:45:00;USD;2;Final Services PMI;54.8;54.8;54.8;;;
2024.06.05 10:00:00;USD;3;ISM Services PMI;49.4;51.0;53.8;;;
2024.06.05 10:30:00;CAD;3;BOC Press Conference;;;;;;
2024.06.05 10:30:00;USD;1;Crude Oil Inventories;-4.2M;-2.1M;1.2M;;;
2024.06.05 21:00:00;NZD;1;ANZ Commodity Prices m/m;0.5%;;1.1%;;;
2024.06.05 21:30:00;AUD;1;Goods Trade Balance;5.02B;5.37B;6.55B;;4.84B;
2024.06.05 23:35:00;JPY;1;30-y Bond Auction;1.99|3.2;;2.16|3.6;;;
2024.06.06 01:45:00;CHF;1;Unemployment Rate;2.3%;2.3%;2.4%;;;
2024.06.06 02:00:00;EUR;1;German Factory Orders m/m;-0.4%;0.6%;-0.2%;;;
2024.06.06 04:00:00;EUR;1;Italian Retail Sales m/m;0.0%;0.3%;-0.1%;;;
2024.06.06 04:30:00;GBP;2;Construction PMI;53.0;52.5;54.7;;;
2024.06.06 04:58:00;EUR;1;French 10-y Bond Auction;3.03|2.2;;3.05|2.0;;;
2024.06.06 05:00:00;EUR;1;Retail Sales m/m;0.8%;-0.2%;-0.5%;;0.7%;
2024.06.06 00:00:00;EUR;2;European Parliamentary Elections (Day 1);;;;;;
2024.06.06 07:30:00;USD;1;Challenger Job Cuts y/y;-3.3%;;-20.3%;;;
2024.06.06 08:15:00;EUR;3;Main Refinancing Rate;4.50%;4.25%;4.25%;;;
2024.06.06 08:15:00;EUR;3;Monetary Policy Statement;;;;;;
2024.06.06 08:30:00;CAD;1;Trade Balance;-2.3B;-1.2B;-1.0B;;-2.0B;
2024.06.06 08:30:00;USD;3;Unemployment Claims;219K;220K;229K;;221K;
2024.06.06 08:30:00;USD;1;Revised Nonfarm Productivity q/q;0.3%;0.1%;0.2%;;;
2024.06.06 08:30:00;USD;1;Revised Unit Labor Costs q/q;4.7%;4.8%;4.0%;;;
2024.06.06 08:30:00;USD;1;Trade Balance;-69.4B;-76.2B;-74.6B;;-68.6B;
2024.06.06 08:45:00;EUR;3;ECB Press Conference;;;;;;
2024.06.06 10:00:00;CAD;2;Ivey PMI;63.0;65.2;52.0;;;
2024.06.06 10:30:00;USD;1;Natural Gas Storage;84B;89B;98B;;;
2024.06.06 18:45:00;NZD;1;Manufacturing Sales q/q;-0.7%;;0.7%;;-0.5%;
2024.06.06 19:30:00;JPY;1;Household Spending y/y;-1.2%;0.6%;0.5%;;;
2024.06.06 23:00:00;AUD;1;RBA Deputy Gov Hauser Speaks;;;;;;
2024.06.06 23:03:00;CNY;1;Trade Balance;513B;523B;586B;;;
2024.06.06 23:04:00;CNY;1;USD-Denominated Trade Balance;72.4B;72.2B;82.6B;;;
2024.06.07 01:00:00;JPY;1;Leading Indicators;111.4%;111.6%;111.6%;;112.2%;
2024.06.07 02:00:00;EUR;1;German Industrial Production m/m;-0.4%;0.1%;-0.1%;;;
2024.06.07 02:00:00;EUR;1;German Trade Balance;22.3B;22.6B;22.1B;;22.2B;
2024.06.07 02:00:00;GBP;1;Halifax HPI m/m;0.1%;0.3%;-0.1%;;0.0%;
2024.06.07 02:45:00;EUR;1;French Trade Balance;-5.5B;-5.4B;-7.6B;;-5.4B;
2024.06.07 03:00:00;CHF;1;Foreign Currency Reserves;720B;;718B;;;
2024.06.07 03:00:00;EUR;1;German Buba President Nagel Speaks;;;;;;
2024.06.07 05:00:00;EUR;1;Final Employment Change q/q;0.3%;0.3%;0.3%;;;
2024.06.07 05:00:00;EUR;1;Revised GDP q/q;0.3%;0.3%;0.3%;;;
2024.06.07 06:03:00;EUR;1;German Buba Monthly Report;;;;;;
2024.06.07 00:00:00;EUR;2;European Parliamentary Elections (Day 2);;;;;;
2024.06.07 08:30:00;CAD;3;Employment Change;90.4K;24.8K;26.7K;;;
2024.06.07 08:30:00;CAD;3;Unemployment Rate;6.1%;6.2%;6.2%;;;
2024.06.07 08:30:00;CAD;1;Capacity Utilization Rate;78.7%;78.8%;78.5%;;78.6%;
2024.06.07 08:30:00;USD;3;Average Hourly Earnings m/m;0.2%;0.3%;0.4%;;;
2024.06.07 08:30:00;USD;3;Non-Farm Employment Change;175K;182K;272K;;165K;
2024.06.07 08:30:00;USD;3;Unemployment Rate;3.9%;3.9%;4.0%;;;
