2024.12.01 16:45:00;NZD;1;Building Consents m/m;2.6%;;-5.2%;;2.4%;
2024.12.01 18:50:00;JPY;1;Capital Spending q/y;7.4%;6.7%;8.1%;;;
2024.12.01 19:00:00;AUD;1;MI Inflation Gauge m/m;0.3%;;0.2%;;;
2024.12.01 19:30:00;AUD;2;Retail Sales m/m;0.1%;0.4%;0.6%;;;
2024.12.01 19:30:00;AUD;1;ANZ Job Advertisements m/m;0.3%;;-1.3%;;0.7%;
2024.12.01 19:30:00;AUD;1;Building Approvals m/m;4.4%;1.2%;4.2%;;5.8%;
2024.12.01 19:30:00;AUD;1;Company Operating Profits q/q;-5.3%;0.6%;-4.6%;;-6.8%;
2024.12.01 19:30:00;JPY;1;Final Manufacturing PMI;49.0;49.0;49.0;;;
2024.12.01 20:45:00;CNY;1;Caixin Manufacturing PMI;50.3;50.6;51.5;;;
2024.12.02 00:30:00;AUD;1;Commodity Prices y/y;-7.8%;;-11.8%;;-9.3%;
2024.12.02 02:00:00;GBP;1;Nationwide HPI m/m;0.1%;0.2%;1.2%;;;
2024.12.02 02:30:00;CHF;1;Retail Sales y/y;2.2%;2.6%;1.4%;;1.8%;
2024.12.02 03:15:00;EUR;1;Spanish Manufacturing PMI;54.5;53.9;53.1;;;
2024.12.02 03:30:00;CHF;1;Manufacturing PMI;49.9;49.6;48.5;;;
2024.12.02 03:45:00;EUR;1;Italian Manufacturing PMI;46.9;46.1;44.5;;;
2024.12.02 03:50:00;EUR;1;French Final Manufacturing PMI;43.2;43.3;43.1;;;
2024.12.02 03:55:00;EUR;1;German Final Manufacturing PMI;43.2;43.2;43.0;;;
2024.12.02 04:00:00;EUR;1;Final Manufacturing PMI;45.2;45.2;45.2;;;
2024.12.02 04:00:00;EUR;1;Italian Monthly Unemployment Rate;6.1%;6.1%;5.8%;;6.0%;
2024.12.02 04:30:00;GBP;1;Final Manufacturing PMI;48.6;48.6;48.0;;;
2024.12.02 05:00:00;EUR;1;Unemployment Rate;6.3%;6.3%;6.3%;;;
