2023.06.01 02:00:00;CHF;1;Trade Balance;4.53B;3.73B;2.60B;;;
2023.06.01 02:00:00;EUR;1;German Retail Sales m/m;-2.4%;1.0%;0.8%;;-1.3%;
2023.06.01 02:00:00;GBP;1;Nationwide HPI m/m;0.5%;-0.5%;-0.1%;;0.4%;
2023.06.01 02:30:00;AUD;1;Commodity Prices y/y;-19.2%;;-22.2%;;;
2023.06.01 02:45:00;EUR;1;French Gov Budget Balance;-54.7B;;-83.7B;;;
2023.06.01 03:15:00;EUR;1;Spanish Manufacturing PMI;49.0;47.9;48.4;;;
2023.06.01 03:30:00;CHF;1;Gov Board Member Schlegel Speaks;;;;;;
2023.06.01 03:30:00;CHF;1;Manufacturing PMI;45.3;44.5;43.2;;;
2023.06.01 03:45:00;EUR;1;Italian Manufacturing PMI;46.8;45.8;45.9;;;
2023.06.01 03:50:00;EUR;1;French Final Manufacturing PMI;46.1;46.1;45.7;;;
2023.06.01 03:55:00;EUR;1;German Final Manufacturing PMI;42.9;42.9;43.2;;;
2023.06.01 04:00:00;EUR;1;Final Manufacturing PMI;44.6;44.6;44.8;;;
2023.06.01 04:00:00;EUR;1;Italian Monthly Unemployment Rate;7.8%;7.8%;7.8%;;7.9%;
2023.06.01 04:30:00;GBP;1;Final Manufacturing PMI;46.9;46.9;47.1;;;
2023.06.01 04:30:00;GBP;1;M4 Money Supply m/m;-0.6%;-0.2%;0.0%;;;
2023.06.01 04:30:00;GBP;1;Mortgage Approvals;52K;54K;49K;;51K;
2023.06.01 04:30:00;GBP;1;Net Lending to Individuals m/m;2.0B;2.2B;0.2B;;1.6B;
2023.06.01 04:59:00;EUR;1;French 10-y Bond Auction;2.83|1.9;;2.85|1.9;;;
2023.06.01 05:00:00;EUR;3;CPI Flash Estimate y/y;7.0%;6.3%;6.1%;;;
2023.06.01 05:00:00;EUR;2;Core CPI Flash Estimate y/y;5.6%;5.5%;5.3%;;;
2023.06.01 05:00:00;EUR;1;Unemployment Rate;6.5%;6.5%;6.5%;;;
2023.06.01 05:30:00;EUR;2;ECB President Lagarde Speaks;;;;;;
2023.06.01 07:30:00;EUR;1;ECB Monetary Policy Meeting Accounts;;;;;;
2023.06.01 07:30:00;USD;1;Challenger Job Cuts y/y;175.9%;;286.7%;;;
2023.06.01 08:15:00;USD;3;ADP Non-Farm Employment Change;296K;173K;278K;;291K;
2023.06.01 08:30:00;USD;3;Unemployment Claims;229K;236K;232K;;230K;
2023.06.01 08:30:00;USD;1;Revised Nonfarm Productivity q/q;-2.7%;-2.6%;-2.1%;;;
2023.06.01 08:30:00;USD;1;Revised Unit Labor Costs q/q;6.3%;6.2%;4.2%;;;
2023.06.01 09:30:00;CAD;1;Manufacturing PMI;50.2;;49.0;;;
2023.06.01 09:45:00;USD;1;Final Manufacturing PMI;48.5;48.5;48.4;;;
2023.06.01 10:00:00;USD;3;ISM Manufacturing PMI;47.1;47.0;46.9;;;
2023.06.01 10:00:00;USD;2;ISM Manufacturing Prices;53.2;52.4;44.2;;;
2023.06.01 10:00:00;USD;1;Construction Spending m/m;0.3%;0.2%;1.2%;;;
2023.06.01 00:00:00;USD;1;Wards Total Vehicle Sales (All Day);15.9M;15.3M;15.1M;;;
2023.06.01 10:30:00;USD;1;Natural Gas Storage;96B;106B;110B;;;
2023.06.01 11:00:00;USD;1;Crude Oil Inventories;-12.5M;-1.4M;4.5M;;;
2023.06.01 13:00:00;USD;2;FOMC Member Harker Speaks;;;;;;
2023.06.01 18:45:00;NZD;1;Overseas Trade Index q/q;1.8%;-1.5%;-1.5%;;1.5%;
2023.06.01 19:50:00;JPY;1;Monetary Base y/y;-1.7%;-1.4%;-1.1%;;;
2023.06.02 02:45:00;EUR;1;French Industrial Production m/m;-1.1%;0.3%;0.8%;;;
2023.06.02 03:00:00;EUR;1;Spanish Unemployment Change;-73.9K;-40.1K;-49.3K;;;
2023.06.02 00:00:00;EUR;0;Italian Bank Holiday (All Day);;;;;;
2023.06.02 08:30:00;USD;3;Average Hourly Earnings m/m;0.5%;0.3%;0.3%;;0.4%;
2023.06.02 08:30:00;USD;3;Non-Farm Employment Change;253K;193K;339K;;294K;
2023.06.02 08:30:00;USD;3;Unemployment Rate;3.4%;3.5%;3.7%;;;
2023.06.04 00:00:00;All;3;OPEC-JMMC Meetings (All Day);;;;;;
2023.06.04 00:00:00;NZD;0;Bank Holiday (All Day);;;;;;
2023.06.04 21:00:00;AUD;1;MI Inflation Gauge m/m;0.2%;;0.9%;;;
2023.06.04 21:30:00;AUD;1;ANZ Job Advertisements m/m;-0.3%;;0.1%;;;
2023.06.04 21:30:00;AUD;1;Company Operating Profits q/q;10.6%;2.1%;0.5%;;12.7%;
2023.06.04 21:45:00;CNY;1;Caixin Services PMI;56.4;55.2;57.1;;;
2023.06.05 02:00:00;EUR;1;German Trade Balance;16.7B;16.1B;18.4B;;14.9B;
2023.06.05 02:30:00;CHF;3;CPI m/m;0.0%;0.3%;0.3%;;;
2023.06.05 03:15:00;EUR;1;Spanish Services PMI;57.9;56.9;56.7;;;
2023.06.05 03:45:00;EUR;1;Italian Services PMI;57.6;57.0;54.0;;;
2023.06.05 03:50:00;EUR;1;French Final Services PMI;52.8;52.8;52.5;;;
2023.06.05 03:55:00;EUR;1;German Final Services PMI;57.8;57.8;57.2;;;
2023.06.05 04:00:00;EUR;1;Final Services PMI;55.9;55.9;55.1;;;
2023.06.05 04:30:00;EUR;1;Sentix Investor Confidence;-13.1;-15.2;-17.0;;;
2023.06.05 04:30:00;GBP;1;Final Services PMI;55.1;55.1;55.2;;;
2023.06.05 05:00:00;EUR;1;PPI m/m;-1.6%;-3.0%;-3.2%;;-1.3%;
2023.06.05 09:00:00;EUR;2;ECB President Lagarde Speaks;;;;;;
2023.06.05 09:45:00;USD;1;Final Services PMI;55.1;55.1;54.9;;;
2023.06.05 10:00:00;EUR;1;German Buba President Nagel Speaks;;;;;;
2023.06.05 10:00:00;USD;3;ISM Services PMI;51.9;52.6;50.3;;;
2023.06.05 10:00:00;USD;1;Factory Orders m/m;0.9%;0.8%;0.4%;;0.6%;
2023.06.05 19:01:00;GBP;1;BRC Retail Sales Monitor y/y;5.2%;5.2%;3.7%;;;
2023.06.05 19:30:00;JPY;1;Average Cash Earnings y/y;0.8%;1.7%;1.0%;;1.3%;
2023.06.05 19:30:00;JPY;1;Household Spending y/y;-1.9%;-2.2%;-4.4%;;;
2023.06.05 21:00:00;NZD;1;ANZ Commodity Prices m/m;-1.7%;;0.3%;;;
2023.06.05 21:30:00;AUD;1;Current Account;14.1B;15.0B;12.3B;;11.7B;
2023.06.05 23:35:00;JPY;1;30-y Bond Auction;1.25|3.5;;1.26|3.1;;;
2023.06.06 00:30:00;AUD;3;Cash Rate;3.85%;3.85%;4.10%;;;
2023.06.06 00:30:00;AUD;3;RBA Rate Statement;;;;;;
2023.06.06 02:00:00;EUR;1;German Factory Orders m/m;-10.7%;2.7%;-0.4%;;-10.9%;
2023.06.06 04:30:00;GBP;1;Construction PMI;51.1;50.9;51.6;;;
2023.06.06 05:00:00;EUR;1;Retail Sales m/m;-1.2%;0.2%;0.0%;;-0.4%;
2023.06.06 05:04:00;GBP;1;30-y Bond Auction;4.08|2.5;;4.48|2.6;;;
2023.06.06 08:30:00;CAD;1;Building Permits m/m;11.3%;-4.3%;-18.8%;;12.3%;
2023.06.06 10:00:00;CAD;2;Ivey PMI;56.8;57.2;53.5;;;
2023.06.06 10:00:00;USD;1;RCM/TIPP Economic Optimism;41.6;45.2;41.7;;;
2023.06.06 10:55:00;NZD;1;GDT Price Index;-0.9%;;-0.9%;;;
2023.06.06 19:20:00;AUD;3;RBA Gov Lowe Speaks;;;;;;
2023.06.06 19:50:00;AUD;1;RBA Gov Bullock Speaks;;;;;;
2023.06.06 21:30:00;AUD;3;GDP q/q;0.5%;0.3%;0.2%;;0.6%;
2023.06.06 23:02:00;CNY;1;USD-Denominated Trade Balance;90.2B;95.2B;65.8B;;;
2023.06.06 23:03:00;CNY;1;Trade Balance;618B;676B;452B;;;
2023.06.07 01:00:00;JPY;1;Leading Indicators;97.5%;98.3%;97.6%;;97.7%;
2023.06.07 01:45:00;CHF;1;Unemployment Rate;1.9%;1.9%;2.0%;;;
2023.06.07 02:00:00;EUR;1;German Industrial Production m/m;-3.4%;0.7%;0.3%;;-2.1%;
2023.06.07 02:00:00;GBP;1;Halifax HPI m/m;-0.3%;0.2%;0.0%;;-0.4%;
2023.06.07 02:45:00;EUR;1;French Trade Balance;-8.0B;-7.7B;-9.7B;;-8.4B;
2023.06.07 03:00:00;CHF;2;Foreign Currency Reserves;732B;;734B;;;
2023.06.07 04:00:00;EUR;1;Italian Retail Sales m/m;0.0%;0.3%;0.2%;;;
2023.06.07 08:30:00;CAD;1;Labor Productivity q/q;-0.5%;0.1%;-0.6%;;;
2023.06.07 08:30:00;CAD;1;Trade Balance;1.0B;0.5B;1.9B;;0.2B;
2023.06.07 08:30:00;USD;1;Trade Balance;-64.2B;-75.8B;-74.6B;;-60.6B;
2023.06.07 10:00:00;CAD;3;BOC Rate Statement;;;;;;
2023.06.07 10:00:00;CAD;3;Overnight Rate;4.50%;4.50%;4.75%;;;
2023.06.07 10:30:00;USD;1;Crude Oil Inventories;4.5M;1.2M;-0.5M;;;
2023.06.07 15:00:00;USD;1;Consumer Credit m/m;26.5B;22.2B;23.0B;;22.8B;
2023.06.07 18:45:00;NZD;1;Manufacturing Sales q/q;-0.4%;;-2.8%;;-1.0%;
2023.06.07 19:01:00;GBP;1;RICS House Price Balance;-39%;-39%;-30%;;;
2023.06.07 19:50:00;JPY;1;Bank Lending y/y;3.2%;3.1%;3.4%;;;
2023.06.07 19:50:00;JPY;1;Current Account;1.01T;1.39T;1.90T;;;
2023.06.07 19:50:00;JPY;1;Final GDP Price Index y/y;2.0%;2.0%;2.0%;;;
2023.06.07 19:50:00;JPY;1;Final GDP q/q;0.4%;0.5%;0.7%;;;
2023.06.07 21:30:00;AUD;1;Goods Trade Balance;15.27B;13.65B;11.16B;;14.82B;
2023.06.08 01:00:00;JPY;1;Economy Watchers Sentiment;54.6;55.1;55.0;;;
2023.06.08 01:30:00;EUR;1;French Final Private Payrolls q/q;0.2%;0.2%;0.4%;;;
2023.06.08 05:00:00;EUR;1;Final Employment Change q/q;0.6%;0.6%;0.6%;;;
2023.06.08 05:00:00;EUR;1;Revised GDP q/q;0.1%;0.0%;-0.1%;;;
2023.06.08 08:05:00;CHF;2;SNB Chairman Jordan Speaks;;;;;;
2023.06.08 08:30:00;USD;3;Unemployment Claims;232K;236K;261K;;233K;
