2023.02.01 00:30:00;AUD;1;Commodity Prices y/y;15.6%;;10.6%;;14.1%;
2023.02.01 02:00:00;GBP;1;Nationwide HPI m/m;-0.1%;-0.5%;-0.6%;;-0.3%;
2023.02.01 03:15:00;EUR;1;Spanish Manufacturing PMI;46.4;47.9;48.4;;;
2023.02.01 03:30:00;CHF;1;Manufacturing PMI;54.1;54.3;49.3;;;
2023.02.01 03:45:00;EUR;1;Italian Manufacturing PMI;48.5;49.6;50.4;;;
2023.02.01 03:50:00;EUR;1;French Final Manufacturing PMI;50.8;50.8;50.5;;;
2023.02.01 03:55:00;EUR;1;German Final Manufacturing PMI;47.0;47.0;47.3;;;
2023.02.01 04:00:00;EUR;1;Final Manufacturing PMI;48.8;48.8;48.8;;;
2023.02.01 04:30:00;GBP;1;Final Manufacturing PMI;46.7;46.7;47.0;;;
2023.02.01 05:00:00;EUR;2;Core CPI Flash Estimate y/y;5.2%;5.1%;5.2%;;;
2023.02.01 05:00:00;EUR;2;CPI Flash Estimate y/y;9.2%;9.0%;8.5%;;;
2023.02.01 05:00:00;EUR;1;Italian Prelim CPI m/m;0.3%;0.0%;0.2%;;;
2023.02.01 05:00:00;EUR;1;Unemployment Rate;6.5%;6.5%;6.6%;;6.6%;
2023.02.01 00:00:00;All;2;OPEC-JMMC Meetings (All Day);;;;;;
2023.02.01 05:34:00;EUR;1;German 10-y Bond Auction;2.25|1.4;;2.27|1.5;;;
2023.02.01 08:15:00;USD;3;ADP Non-Farm Employment Change;235K;176K;106K;;253K;
2023.02.01 09:30:00;CAD;1;Manufacturing PMI;49.2;;51.0;;;
2023.02.01 09:45:00;USD;1;Final Manufacturing PMI;46.8;46.8;46.9;;;
2023.02.01 10:00:00;USD;3;ISM Manufacturing PMI;48.4;48.0;47.4;;;
2023.02.01 10:00:00;USD;3;JOLTS Job Openings;10.46M;10.28M;11.01M;;10.44M;
2023.02.01 10:00:00;USD;1;Construction Spending m/m;0.2%;0.0%;-0.4%;;0.5%;
2023.02.01 10:00:00;USD;1;ISM Manufacturing Prices;39.4;40.6;44.5;;;
2023.02.01 00:00:00;USD;1;Wards Total Vehicle Sales (All Day);13.3M;15.2M;15.7M;;;
