2023.04.01 10:00:00;NZD;0;Daylight Saving Time Shift;;;;;;
2023.04.01 12:00:00;AUD;0;Daylight Saving Time Shift;;;;;;
2023.04.02 19:50:00;JPY;1;Tankan Manufacturing Index;7;3;1;;;
2023.04.02 19:50:00;JPY;1;Tankan Non-Manufacturing Index;19;20;20;;;
2023.04.02 00:00:00;CNY;0;Bank Holiday (All Day);;;;;;
2023.04.02 20:30:00;JPY;1;Final Manufacturing PMI;48.6;48.6;49.2;;;
2023.04.02 21:00:00;AUD;1;MI Inflation Gauge m/m;0.4%;;0.3%;;;
2023.04.02 21:30:00;AUD;1;ANZ Job Advertisements m/m;-0.5%;;-2.4%;;;
2023.04.02 21:30:00;AUD;1;Building Approvals m/m;-27.6%;10.4%;4.0%;;-27.1%;
2023.04.02 21:45:00;CNY;1;Caixin Manufacturing PMI;51.6;51.4;50.0;;;
2023.04.03 02:30:00;AUD;1;Commodity Prices y/y;3.6%;;-9.1%;;4.7%;
2023.04.03 02:30:00;CHF;3;CPI m/m;0.7%;0.4%;0.2%;;;
2023.04.03 02:45:00;EUR;1;French Gov Budget Balance;-21.1B;;-50.3B;;;
2023.04.03 03:15:00;EUR;1;Spanish Manufacturing PMI;50.7;50.1;51.3;;;
2023.04.03 03:30:00;CHF;1;Manufacturing PMI;48.9;48.5;47.0;;;
2023.04.03 03:45:00;EUR;1;Italian Manufacturing PMI;52.0;51.1;51.1;;;
2023.04.03 03:50:00;EUR;1;French Final Manufacturing PMI;47.7;47.7;47.3;;;
2023.04.03 03:55:00;EUR;1;German Final Manufacturing PMI;44.4;44.4;44.7;;;
2023.04.03 04:00:00;EUR;1;Final Manufacturing PMI;47.1;47.1;47.3;;;
2023.04.03 04:30:00;GBP;1;Final Manufacturing PMI;48.0;48.0;47.9;;;
2023.04.03 00:00:00;All;2;OPEC-JMMC Meetings (All Day);;;;;;
2023.04.03 09:30:00;CAD;1;Manufacturing PMI;52.4;;48.6;;;
2023.04.03 09:45:00;USD;1;Final Manufacturing PMI;49.3;49.3;49.2;;;
2023.04.03 10:00:00;USD;3;ISM Manufacturing PMI;47.7;47.5;46.3;;;
2023.04.03 10:00:00;USD;2;ISM Manufacturing Prices;51.3;51.2;49.2;;;
2023.04.03 10:00:00;USD;1;Construction Spending m/m;-0.1%;0.0%;-0.1%;;0.4%;
2023.04.03 00:00:00;USD;1;Wards Total Vehicle Sales (All Day);14.9M;14.5M;14.8M;;;
2023.04.03 10:30:00;CAD;2;BOC Business Outlook Survey;;;;;;
2023.04.03 16:15:00;USD;1;FOMC Member Cook Speaks;;;;;;
2023.04.03 18:00:00;NZD;1;NZIER Business Confidence;-70;;-66;;;
2023.04.03 19:50:00;JPY;1;Monetary Base y/y;-1.6%;2.0%;-1.0%;;;
2023.04.03 00:00:00;CNY;0;Bank Holiday (All Day);;;;;;
2023.04.03 23:35:00;JPY;1;10-y Bond Auction;0.50|7.6;;0.46|3.8;;;
2023.04.04 00:30:00;AUD;3;Cash Rate;3.60%;3.60%;3.60%;;;
2023.04.04 00:30:00;AUD;3;RBA Rate Statement;;;;;;
2023.04.04 02:00:00;EUR;1;German Trade Balance;16.7B;16.8B;16.0B;;16.0B;
2023.04.04 03:00:00;EUR;1;Spanish Unemployment Change;2.6K;8.5K;-48.8K;;;
2023.04.04 05:00:00;EUR;1;PPI m/m;-2.8%;-0.5%;-0.5%;;;
2023.04.04 05:15:00;GBP;1;MPC Member Tenreyro Speaks;;;;;;
2023.04.04 08:30:00;CAD;1;Building Permits m/m;-4.0%;2.2%;8.6%;;-3.7%;
2023.04.04 10:00:00;USD;3;JOLTS Job Openings;10.82M;10.49M;9.93M;;10.56M;
2023.04.04 10:00:00;USD;1;Factory Orders m/m;-1.6%;-0.4%;-0.7%;;-2.1%;
2023.04.04 10:00:00;USD;1;RCM/TIPP Economic Optimism;46.9;47.2;47.4;;;
2023.04.04 10:28:00;NZD;1;GDT Price Index;-2.6%;;-4.7%;;;
2023.04.04 10:30:00;GBP;1;MPC Member Pill Speaks;;;;;;
2023.04.04 13:30:00;USD;1;FOMC Member Cook Speaks;;;;;;
2023.04.04 00:00:00;CNY;0;Bank Holiday (All Day);;;;;;
2023.04.04 22:00:00;NZD;3;Official Cash Rate;4.75%;5.00%;5.25%;;;
2023.04.04 22:00:00;NZD;3;RBNZ Rate Statement;;;;;;
2023.04.04 22:30:00;AUD;3;RBA Gov Lowe Speaks;;;;;;
2023.04.05 02:00:00;EUR;1;German Factory Orders m/m;1.0%;0.2%;4.8%;;0.5%;
2023.04.05 02:45:00;EUR;1;French Industrial Production m/m;-1.9%;0.5%;1.2%;;-1.4%;
2023.04.05 03:15:00;EUR;1;Spanish Services PMI;56.7;57.6;59.4;;;
2023.04.05 03:45:00;EUR;1;Italian Services PMI;51.6;53.8;55.7;;;
2023.04.05 03:50:00;EUR;1;French Final Services PMI;55.5;55.5;53.9;;;
2023.04.05 03:55:00;EUR;1;German Final Services PMI;53.9;53.9;53.7;;;
2023.04.05 04:00:00;EUR;1;Final Services PMI;55.6;55.6;55.0;;;
2023.04.05 04:30:00;GBP;1;Final Services PMI;52.8;52.8;52.9;;;
2023.04.05 05:00:00;EUR;1;Italian Retail Sales m/m;1.7%;0.5%;-0.1%;;;
2023.04.05 05:15:00;GBP;1;MPC Member Tenreyro Speaks;;;;;;
2023.04.05 08:15:00;USD;3;ADP Non-Farm Employment Change;242K;208K;145K;;261K;
2023.04.05 08:30:00;CAD;1;Trade Balance;1.9B;1.5B;0.4B;;1.2B;
2023.04.05 08:30:00;USD;1;Trade Balance;-68.3B;-68.9B;-70.5B;;-68.7B;
2023.04.05 09:45:00;USD;1;Final Services PMI;53.8;53.8;52.6;;;
2023.04.05 10:00:00;USD;3;ISM Services PMI;55.1;54.3;51.2;;;
2023.04.05 10:30:00;USD;1;Crude Oil Inventories;-7.5M;-1.6M;-3.7M;;;
2023.04.05 21:00:00;NZD;1;ANZ Commodity Prices m/m;1.3%;;1.3%;;1.4%;
2023.04.05 21:30:00;AUD;1;Goods Trade Balance;11.69B;11.33B;13.87B;;11.27B;
2023.04.05 21:30:00;AUD;1;RBA Financial Stability Review;;;;;;
2023.04.05 21:45:00;CNY;1;Caixin Services PMI;55.0;55.0;57.8;;;
2023.04.05 23:35:00;JPY;1;30-y Bond Auction;1.42|3.0;;1.35|3.2;;;
